COMMON,SCIENTIFIC,ACTIVITY_CODE,FWS_OFFICE,DATE,Mention,Analysis,Programmatic,,,,
"Toad, arroyo",Anaxyrus californicus,08ECAR00-2014-F-0006,CARLSBAD FISH AND WILDLIFE OFFICE,1/9/2014,N,N,N,,,0.052,
"Toad, arroyo",Anaxyrus californicus,08ECAR00-2014-F-0214,CARLSBAD FISH AND WILDLIFE OFFICE,3/26/2014,N,N,N,,,,
"Toad, arroyo",Anaxyrus californicus,81430-2011-FE-0361,CARLSBAD FISH AND WILDLIFE OFFICE,6/11/2014,N,N,N,,,,
"Toad, arroyo",Anaxyrus californicus,08ECAR00-2015-F-0232,CARLSBAD FISH AND WILDLIFE OFFICE,4/7/2015,Y,Y,N,,,,
"Toad, arroyo",Anaxyrus californicus,81430-2010-F-0215,CARLSBAD FISH AND WILDLIFE OFFICE,7/31/2010,N,N,N,"Confusing, because an extremely thorough analysis of RU provided for MDT",,27.8,
"Toad, arroyo",Anaxyrus californicus,08ESMF00-2012-F-0682,SACRAMENTO FISH AND WILDLIFE OFFICE,10/23/2014,N,N,N,,,,
"Toad, arroyo",Anaxyrus californicus,08ECAR00-2014-F-0258,CARLSBAD FISH AND WILDLIFE OFFICE,11/5/2014,Y,N,N ,,,,
"Toad, arroyo",Anaxyrus californicus,02E00000-2015-F-0001,NEW MEXICO ECOLOGICAL SERVICES FIELD OFFICE,2/13/2015,N,N,Y,,,,
"Beetle, Helotes mold",Batrisodes venyivi,21450-2011-F-0210,AUSTIN ECOLOGICAL SERVICES FIELD OFFICE,11/1/2015,Y,Y,N,Mentions 'karst fauna regions' and thersholds for established populations per KFR.,,,
"Murrelet, marbled",Brachyramphus marmoratus,OlEWFW00-2014-F-0207,WASHINGTON FISH AND WILDLIFE OFFICE,3/2/2014,Y,Y,N,,,,
"Murrelet, marbled",Brachyramphus marmoratus,AFWO-14B0051-14F0118,ARCATA FISH AND WILDLIFE OFFICE,4/30/2014,Y,NA,N,,,,
"Murrelet, marbled",Brachyramphus marmoratus,01EOFW00-2014-F-0222,OREGON FISH AND WILDLIFE OFFICE,5/15/2014,Y,Y,Y,,,,
"Murrelet, marbled",Brachyramphus marmoratus,01EWFW00-2013-F-0437,WASHINGTON FISH AND WILDLIFE OFFICE,3/22/2014,Y,Y,N,"p71 Therefore, we do not anticipate measurable reductions in juvenile recruitment, overall murrelet numbers, or productivity at the scale of the action are or Conservaiton Zone 1.",,,
"Murrelet, marbled",Brachyramphus marmoratus,2014-F-0197,OREGON FISH AND WILDLIFE OFFICE,7/2/2014,Y,Y,N,"p 9. These adverse effects are not expected to measurably reduce the size, distribution, or productivity of populations at the eCOprovince or rangewide scales and, therefore, will not jeopardize the continued existence of the species.",,,
"Murrelet, marbled",Brachyramphus marmoratus,08ESMF00-2012-F-0682,SACRAMENTO FISH AND WILDLIFE OFFICE,10/23/2014,N,N,N,,,,
"Murrelet, marbled",Brachyramphus marmoratus,01EWFW00-2015-F-0577,WASHINGTON FISH AND WILDLIFE OFFICE,9/24/2015,Y,Y,N,"p55. not likely to appreciably reduce the likelihood of survival and recovery of the murrelet...at the scale of the action area, Conservaiton Zone 1, or the listed range of the species",,,
"Murrelet, marbled",Brachyramphus marmoratus,01EOFW00-2014-F-0163,OREGON FISH AND WILDLIFE OFFICE,6/30/2014,Y,Y,Y,,,,
"Sea turtle, loggerhead",Caretta caretta,04EN2000-2013-F-0247-R002,RALEIGH ECOLOGICAL SERVICES FIELD OFFICE,4/1/2014,Y,Y,N,p25. The loss of a nesting female in a small recovery unit would represent a significant loss to the recovery unit.,,,
"Sea turtle, loggerhead",Caretta caretta,04ES1000-2013-F-0451,SOUTH CAROLINA ECOLOGICAL SERVICES,1/31/2014,Y,Y,N ,,,,
"Sea turtle, loggerhead",Caretta caretta,,MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE,9/8/2015,Y,Y,N ,,,,
"Sea turtle, loggerhead",Caretta caretta,04EN2000-2015-F-0067,RALEIGH ECOLOGICAL SERVICES FIELD OFFICE,5/21/2015,Y,Y,N ,,,,
