Scientific,Common,Group,Region,Range,Units
Rana draytonii,California red-legged frog,Amphibians,8,20,8
Anaxyrus californicus,Arroyo Southwestern Toad,Amphibians,8,8,3
Rana chiricahuensis,Chiricahua leopard frog,Amphibians,2,17,8
Picoides borealis,Red-cockaded woodpecker,Birds,4,233,11
Strix occidentalis caurina,Northern spotted owl,Birds,1,64,12
Eucyclogobius newberryi,Tidewater Goby,Fish,8,20,6
Gila elegans,Bonytail,Fish,6,23,2
Xyrauchen texanus,Razorback sucker,Fish,6,35,2
Oncorhynchus gilae,Gila trout,Fish,2,5,2
Salvelinus confluentus,Bull trout,Fish,1,99,6
Chasmistes brevirostris,Shortnose sucker,Fish,8,10,2
Deltistes luxatus,Lost river sucker,Fish,8,10,2
Salmo salar,Gulf of Maine Atlantic salmon,Fish,5,14,3
Euphilotes battoides allyni,El Segundo blue butterfly,Insects,8,2,4
Euphydryas editha quino (=E. e. wrighti),Quino checkerspot butterfly,Insects,8,6,6
Lycaeides melissa samuelis,Karner blue butterfly,Insects,3,39,13
Manduca blackburni,Blackburns sphynx moth,Insects,1,4,3
Fritillaria gentneri,Gentners fritillary,Plants,1,2,4
Cynomys parvidens,Utah prairie dog,Mammals,6,7,3
Ovis canadensis sierrae,Sierra Nevada bighorn sheep,Mammals,8,7,4
Myotis sodalis,Indiana bat,Mammals,3,936,4
Zapus hudsonius preblei,Prebles meadow jumping mouse,Mammals,6,19,2
Purshia (=Cowania) subintegra,Arizona cliffrose,Plants,2,4,4
Plagiobothrys hirtus,Rough popcornflower,Plants,1,1,3
Chorizanthe robusta var. robusta,Robust spineflower,Plants,8,7,4
Ayenia limitaris,Texas ayenia,Plants,2,3,3
Clemmys muhlenbergii,Bog turtle,Reptiles,5,51,5
Caretta caretta,Loggerhead sea turtle,Reptiles,4,91,5
Gopherus agassizii,Desert tortoise,Reptiles,2,12,15
Lessingia germanorum,San Francisco lessingia,Plants,8,3,3
Masticophis lateralis,Alameda whipsnake,Reptiles,8,10,7
