,Species,Unit,Common,Taxa,Acres
0,Ayenia limitaris,Holocene_delta,Texas ayenia,Plants,1007153.44008
1,Ayenia limitaris,Pleistocene_delta,Texas ayenia,Plants,72745.2205932
2,Ayenia limitaris,Soto_la_Marina,Texas ayenia,Plants,371909.459644
3,Cynomys parvidens,Awapa_Plateau,Utah prairie dog,Mammals,1229831.11051
4,Cynomys parvidens,Paunsaugunt,Utah prairie dog,Mammals,970413.038646
5,Cynomys parvidens,West_Desert,Utah prairie dog,Mammals,2585982.15917
6,Euphilotes battoides allyni,Airport_Dunes,El Segundo blue butterfly,Insects,970.82810553
7,Euphilotes battoides allyni,Ballona,El Segundo blue butterfly,Insects,2757.9498805
8,Euphilotes battoides allyni,El_Segundo,El Segundo blue butterfly,Insects,5069.39924443
9,Euphilotes battoides allyni,Torrance,El Segundo blue butterfly,Insects,922.088430116
10,Euphydryas editha quino,North_San_Diego,Quino_checkerspot_butterfly,Insects,241856.091979
11,Euphydryas editha quino,Northwest_Riverside,Quino_checkerspot_butterfly,Insects,102822.170145
12,Euphydryas editha quino,South_Riverside,Quino_checkerspot_butterfly,Insects,161757.166401
13,Euphydryas editha quino,Southeast_San_Diego,Quino_checkerspot_butterfly,Insects,64082.9720125
14,Euphydryas editha quino,Southwest_Riverside,Quino_checkerspot_butterfly,Insects,65427.4696208
15,Euphydryas editha quino,Southwest_San_Diego,Quino_checkerspot_butterfly,Insects,129171.860186
16,Fritillaria gentneri,Unit_1,Gentners fritillary,Plants,346611.784671
17,Fritillaria gentneri,Unit_2,Gentners fritillary,Plants,300201.385411
18,Fritillaria gentneri,Unit_3,Gentners fritillary,Plants,333429.551849
19,Fritillaria gentneri,Unit_4,Gentners fritillary,Plants,167785.601389
20,Glyptemys muhlenbergii,Delaware,Bog turtle,Reptiles,5776385.47483
21,Glyptemys muhlenbergii,Hudson_Housatonic,Bog turtle,Reptiles,6921977.94108
22,Glyptemys muhlenbergii,Lake_Plain,Bog turtle,Reptiles,7983585.40238
23,Glyptemys muhlenbergii,Outer_Coastal_Plain,Bog turtle,Reptiles,1731994.93493
24,Glyptemys muhlenbergii,Susquehanna_Potomac,Bog turtle,Reptiles,3712647.48542
25,Gopherus agassizii,Eastern_Colorado,Desert tortoise,Reptiles,3249901.83908
26,Gopherus agassizii,Eastern_Mojave,Desert tortoise,Reptiles,8278446.5858
27,Gopherus agassizii,Northern_Colorado,Desert tortoise,Reptiles,2611437.49541
28,Gopherus agassizii,Northern_Mojave,Desert tortoise,Reptiles,9602596.04761
29,Gopherus agassizii,Upper_Virgin_River,Desert tortoise,Reptiles,433886.436759
30,Gopherus agassizii,Western_Mojave,Desert tortoise,Reptiles,14497690.9943
31,Lessingia germanorum,Fort_Funston,San Francisco lessingia,Plants,200.403603891
32,Lessingia germanorum,Persido,San Francisco lessingia,Plants,187.614862486
33,Lessingia germanorum,Sunset_Heights,San Francisco lessingia,Plants,13.5267282816
34,Lessingia germanorum,Sutro_Heights,San Francisco lessingia,Plants,7.05032463737
35,Manduca blackburni,Big_Island,Blackburns sphinx moth,Insects,2583735.73934
36,Manduca blackburni,Kauai_Oahu,Blackburns sphinx moth,Insects,753551.345081
37,Manduca blackburni,Maui_Nui,Blackburns sphinx moth,Insects,755122.790575
38,Masticophis lateralis,Caldescott_Tunnel_Corridor,Alameda whipsnake,Reptiles,5753.96327621
39,Masticophis lateralis,Hayward,Alameda whipsnake,Reptiles,32971.214259
40,Masticophis lateralis,Mount_Diablo,Alameda whipsnake,Reptiles,102184.703317
41,Masticophis lateralis,Niles_Canyon,Alameda whipsnake,Reptiles,4063.73241364
42,Masticophis lateralis,Oakland,Alameda whipsnake,Reptiles,56153.4746624
43,Masticophis lateralis,Sunol,Alameda whipsnake,Reptiles,173997.611086
44,Masticophis lateralis,Tilden,Alameda whipsnake,Reptiles,40943.9498477
45,Myois sodalis,Appalachian,Indiana bat,Mammals,56176987.3983
46,Myois sodalis,Midwest,Indiana bat,Mammals,125492259.615
47,Myois sodalis,Northeast,Indiana bat,Mammals,32084308.4422
48,Myois sodalis,Ozark_Central,Indiana bat,Mammals,109568847.717
49,Ovis canadensis sierrae,Central,"Sheep, Sierra Nevada bighorn",Mammals,117503.065497
50,Ovis canadensis sierrae,Kern,"Sheep, Sierra Nevada bighorn",Mammals,47041.44457
51,Ovis canadensis sierrae,Northern,"Sheep, Sierra Nevada bighorn",Mammals,120657.953126
52,Ovis canadensis sierrae,Southern,"Sheep, Sierra Nevada bighorn",Mammals,287482.959677
53,Plagiobothrys hirtus,Calapooya_Creek,Rough popcornflower,Plants,157463.079139
54,Plagiobothrys hirtus,Sutherlin_Creek,Rough popcornflower,Plants,45091.6361098
55,Plagiobothrys hirtus,Yoncalla_Creek,Rough popcornflower,Plants,18544.8283366
56,Purshia subintegra,Burro_Creek,Arizona cliffrose,Plants,582.014667555
57,Purshia subintegra,Bylas,Arizona cliffrose,Plants,326.567535579
58,Purshia subintegra,Cottonwood,Arizona cliffrose,Plants,2131.87920179
59,Purshia subintegra,Horseshoe,Arizona cliffrose,Plants,851.290511997
60,Rana chiricahuensis,Gila_Blue,"Frog, Chiricahua leopard",Amphibians,1244204.03031
61,Rana chiricahuensis,Gila_White_Mountains,"Frog, Chiricahua leopard",Amphibians,4267417.63352
62,Rana chiricahuensis,Gila_White_Mountians,"Frog, Chiricahua leopard",Amphibians,24.0255731298
63,Rana chiricahuensis,Graham_Galiuros_Willcox,"Frog, Chiricahua leopard",Amphibians,1177447.07643
64,Rana chiricahuensis,Malpais_Cajon_Bonito,"Frog, Chiricahua leopard",Amphibians,22507174.5025
65,Rana chiricahuensis,Mimbres_Alamosa,"Frog, Chiricahua leopard",Amphibians,2019493.49717
66,Rana chiricahuensis,Mogollon_Rim_Verde,"Frog, Chiricahua leopard",Amphibians,4799813.99025
67,Rana chiricahuensis,Tumacacori_Highlands,"Frog, Chiricahua leopard",Amphibians,1055193.17294
68,Rana chiricahuensis,Upper_San_Pedro_Santa_Cruz,"Frog, Chiricahua leopard",Amphibians,3022726.97946
69,Rana draytonii,Central_Coast,"Frog, California Red-legged",Amphibians,1333734.0528
70,Rana draytonii,Diablo_Range&Salinas_Valley,"Frog, California Red-legged",Amphibians,6359750.08168
71,Rana draytonii,North_Coast&North_San_Francisco_Bay,"Frog, California Red-legged",Amphibians,1240743.45782
72,Rana draytonii,North_Coast_foothills&Western_Sacramento_River,"Frog, California Red-legged",Amphibians,5568553.47403
73,Rana draytonii,Northern_Transverse_Ranges&Tehachapi_Mountains,"Frog, California Red-legged",Amphibians,6356896.80925
74,Rana draytonii,Sierra_Nevada_foothills,"Frog, California Red-legged",Amphibians,25624255.2545
75,Rana draytonii,South&East_San_Francisco_Bay,"Frog, California Red-legged",Amphibians,2076891.72396
76,Salmo salar,Downeast,Atlantic salmon_Gulf of Maine DPS,Fish,2353552.1937
77,Salmo salar,Merrymeeting_Bay,Atlantic salmon_Gulf of Maine DPS,Fish,4321174.13981
78,Salmo salar,Penobscot,Atlantic salmon_Gulf of Maine DPS,Fish,6407566.26784
79,Salvelinus confluentus,Coastal,Bull trout,Fish,30131335.0245
80,Salvelinus confluentus,Columbia_Headwaters,Bull trout,Fish,21254266.4482
81,Salvelinus confluentus,Klamath,Bull trout,Fish,2435535.33218
82,Salvelinus confluentus,Mid_Columbia,Bull trout,Fish,40108910.9113
83,Salvelinus confluentus,St_Mary,Bull trout,Fish,451215.162269
84,Salvelinus confluentus,Upper_Snake,Bull trout,Fish,20706657.3017
85,Strix occidentalis caurina,California_Cascades,Northern spotted owl,Birds,2587692.47414
86,Strix occidentalis caurina,California_Coast,Northern spotted owl,Birds,5351423.92538
87,Strix occidentalis caurina,California_Klamath,Northern spotted owl,Birds,6204164.51485
88,Strix occidentalis caurina,Eastern_Oregon_Cascades,Northern spotted owl,Birds,2497893.42538
89,Strix occidentalis caurina,Eastern_Washington_Cascades,Northern spotted owl,Birds,5416585.6262
90,Strix occidentalis caurina,Olympic_Peninsula,Northern spotted owl,Birds,3075238.86091
