"","activity_code","title","spp_BO_ls"
"1","02ENNM00-2014-I-0529","Gonzales Restoration Project -- created on September 16, 2014 12:19","alamosa springsnail (tryonia alamosae): BO = No Effect - No Concurrence Required; CH = , chiricahua leopard frog (rana chiricahuensis): BO = No Effect - No Concurrence Required; CH = , chupadera springsnail (pyrgulopsis chupaderae): BO = No Effect - No Concurrence Required; CH = , least tern (sterna antillarum): BO = No Effect - No Concurrence Required; CH = , mexican spotted owl (strix occidentalis lucida): BO = No Effect - No Concurrence Required; CH = , new mexico meadow jumping mouse (zapus hudsonius luteus): BO = No Effect - No Concurrence Required; CH = , northern aplomado falcon (falco femoralis septentrionalis): BO = No Effect - No Concurrence Required; CH = , pecos (=puzzle, =paradox) sunflower (helianthus paradoxus): BO = No Effect - No Concurrence Required; CH = , piping plover (charadrius melodus): BO = No Effect - No Concurrence Required; CH = , rio grande silvery minnow (hybognathus amarus): BO = NLAA - N-CP, No Further Recommendations Provided; CH = NLAA - N-CP, No Further Recommendations Provided, socorro isopod (thermosphaeroma thermophilus): BO = No Effect - No Concurrence Required; CH = , socorro springsnail (pyrgulopsis neomexicana): BO = No Effect - No Concurrence Required; CH = , southwestern willow flycatcher (empidonax traillii extimus): BO = NLAA - N-CP, No Further Recommendations Provided; CH = NLAA - N-CP, No Further Recommendations Provided, spragues pipit (anthus spragueii): BO = No Effect - No Concurrence Required; CH = , wrights marsh thistle (cirsium wrightii): BO = No Effect - No Concurrence Required; CH = , yellow-billed cuckoo (coccyzus americanus): BO = NLAA - N-CP, No Further Recommendations Provided; CH = NLAA - N-CP, No Further Recommendations Provided)"
"2","02ENNM00-2014-I-0448","Gallinas River Diversion Structure Site"," "
"3","02ENNM00-2014-I-0215","Starkweather Canyon Bridge Replacement -- created on April 08, 2014 01:30"," "
"4","02ENNM00-2014-I-0444","Los Alamos Reservoir Debris Removal"," "
"5","02ENNM00-2015-I-0178","Debris Removal - Bonita Lake Area"," "
"6","02ENNM00-2014-I-0544","Gila Trout stocking and broodstock collection -- created on September 25, 2014 10:17"," "
"7","02ENNM00-2015-I-0330","Track Fire Burn Area Perennial Stream Restoration Project -- created on June 02, 2015 03:10"," "
"8","02ENNM00-2015-I-0482","COYOTE CANYON"," "
"9","02ENNM00-2015-I-0679","NM 3 Drainage Improvement Project  CN 4100070"," "
"10","02ENNM00-2015-I-0737","NM 434 Geotechnical Borings"," "
"11","02ENNM00-2014-I-0040","Pilar 60-ft Monopole Communications Tower","southwestern willow flycatcher (empidonax traillii extimus): BO = NLAA - Concurrence Provided; CH = NLAA - Concurrence Provided, yellow-billed cuckoo (coccyzus americanus): BO = Non-jeopardy; CH = )"
"12","22420-2011-F-0024","Albuquerque Phase I MS4 NPDES Permit NMS000101"," "
"13","22420-2010-I-0163","Translocation of Gila Chub and Gila Topminnow to Redrock Cienega"," "
